Title,Artists,Album,Album Release Date
Välitunnilla,['Katri Ylander'],Kaikki nämä sanat,2007-10-19
Onko vielä aikaa?,['Katri Ylander'],Katri Ylander,2006-06-08
En koskaan,['Katri Ylander'],Katri Ylander,2006-06-08
Valehdellaan,['Katri Ylander'],Kaikki nämä sanat,2007-10-19
Jotain Niin Oikeaa,['Juha Tapio'],Sinun Vuorosi Loistaa,2015-10-09
Kaksi puuta,['Juha Tapio'],Tähtisarja - 30 Suosikkia,2011-10-05
Pettävällä jäällä,['Juha Tapio'],Suurenmoinen kokoelma: 1999-2009 (Special Edition),2009-09-21
Sirpa - feat. Ulpu,"['Arttu Wiskari', 'Ulpu']",TOP 10,2016-05-13
Kahvimaito,['Arttu Wiskari'],TOP 10,2016-05-13
3 Foot Tall,['Classified'],Inner Ninja EP,2013-07-23
Chained To The Rhythm,"['Katy Perry', 'Skip Marley']",Chained To The Rhythm,2017-02-10
I Got Two Phones,['Dj Slim D'],I Got Two Phones,2016-01-13
Liikaa Sussa Kii,"['Mikael Gabriel', 'Isac Elliot']",Mikael Gabriel x Isac Elliot,2017-02-02
Tumblr Girls,"['G-Eazy', 'Christoph Andersson']",Tumblr Girls,2014-05-27
Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",The Hits Collection Volume One [International Version (Explicit)],2010-11-22
Ni**as In Paris,"['JAY-Z', 'Kanye West']",Watch The Throne (Deluxe),2011-08-08
Numb / Encore,"['JAY-Z', 'Linkin Park']",Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2004-11-30
No Church In The Wild,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']",Watch The Throne (Deluxe),2011-08-08
American Oxygen,['Rihanna'],American Oxygen,2015-04-14
It Ain't Me (with Selena Gomez),"['Kygo', 'Selena Gomez']",It Ain't Me (with Selena Gomez),2017-02-16
Äiti anna anteeks,['Pyhimys'],Pettymys,2015-08-14
Ass Back Home (feat. Neon Hitch),"['Gym Class Heroes', 'Neon Hitch']",The Papercut Chronicles II,2011-11-11
Poetic Justice,"['Kendrick Lamar', 'Drake']","good kid, m.A.A.d city (Deluxe)",2012-10-22
Slippery (feat. Gucci Mane),"['Migos', 'Gucci Mane']",Culture,2017-04-07
Sneakin’,"['Drake', '21 Savage']",Sneakin’,2016-10-24
Me U & Hennessy (feat. Lil Wayne),"['DeJ Loaf', 'Lil Wayne']",Me U & Hennessy (feat. Lil Wayne),2015-04-20
Famous,['Kanye West'],The Life Of Pablo,2016-06-10
Bad and Boujee (feat. Lil Uzi Vert),"['Migos', 'Lil Uzi Vert']",Culture,2017-04-07
Bounce Back,['Big Sean'],I Decided.,2017-02-03
No Favors,"['Big Sean', 'Eminem']",I Decided.,2017-02-03
"3 on (feat. Tinashe, Drake)","['ScHoolboy Q', 'Drake', 'Tinashe']",Schoolboy Q 2,2015-04-06
Birthday,['Katy Perry'],PRISM,2013-01-01
Break Free,"['Ariana Grande', 'Zedd']",Break Free,2014-07-03
Bailando - Spanish Version,"['Enrique Iglesias', 'Descemer Bueno', 'Gente De Zona']",SEX AND LOVE,2014-01-01
Don't Stop,['5 Seconds of Summer'],Don't Stop,2014-01-01
Only One,['Aste'],The Voice Kesähitti 2014,2014-06-13
I Want You To Know,"['Zedd', 'Selena Gomez']",I Want You To Know,2015-02-23
Thumbs,['Sabrina Carpenter'],EVOLution,2016-10-14
Believer,['Imagine Dragons'],Believer,2017-01-31
"Ooh La La (from ""The Smurfs 2"")",['Britney Spears'],"Ooh La La (from ""The Smurfs 2"")",2013-06-17
Radar,['Britney Spears'],Radar,2009-07-23
Leave It All To Me (Theme from iCarly) (feat. Drake Bell),"['Miranda Cosgrove', 'Drake Bell']",Leave It All To Me (Theme from iCarly) (feat. Drake Bell),2007-12-18
Tämä on totta,['Laura Närhi'],Suuri sydän,2010-07-19
Been On,['G-Eazy'],Been On,2013-08-20
We Winnin',['DeJ Loaf'],#AndSeeThatsTheThing,2015-07-31
Waves,['Kanye West'],The Life Of Pablo,2016-04-01
Champions,"['Kanye West', 'Gucci Mane', 'Big Sean', '2 Chainz', 'Travis Scott', 'Yo Gotti', 'Quavo', 'Desiigner']",Champions,2016-06-10
"How Far I'll Go - From ""Vaiana""",['Alessia Cara'],"How Far I'll Go (From ""Vaiana"")",2016-10-28
Rolex,['Ayo & Teo'],Rolex,2017-01-13
Stay (with Alessia Cara),"['Zedd', 'Alessia Cara']",Stay,2017-02-23
Issues,['Julia Michaels'],Issues,2017-01-13
1000 Nights,['FRENSHIP'],1000 Nights,2017-01-27
Used To Have It All,"['FÄIS', 'AFROJACK']",Used To Have It All,2016-10-14
Galway Girl,['Ed Sheeran'],÷ (Deluxe),2017-03-03
Something Just Like This,"['The Chainsmokers', 'Coldplay']",Something Just Like This,2017-02-22
Despacito (Featuring Daddy Yankee),"['Luis Fonsi', 'Daddy Yankee']",Despacito (Featuring Daddy Yankee),2017-01-13
That's What I Like,['Bruno Mars'],24K Magic,2016-11-17
Happier,['Ed Sheeran'],÷ (Deluxe),2017-03-03
Dive,['Ed Sheeran'],÷ (Deluxe),2017-03-03
New Man,['Ed Sheeran'],÷ (Deluxe),2017-03-03
What Do I Know?,['Ed Sheeran'],÷ (Deluxe),2017-03-03
Slide (feat. Frank Ocean & Migos),"['Calvin Harris', 'Frank Ocean', 'Migos']",Slide (feat. Frank Ocean & Migos),2017-02-24
I Lived,['OneRepublic'],Native,2014-01-01
Wipe Your Eyes,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Hollywood Hills,['Sunrise Avenue'],Out Of Style (Special Edition),2011-01-01
Hetken Tie On Kevyt,['Tehosekoitin'],Golden Greats,2002
Just the Way You Are,['Bruno Mars'],Doo-Wops & Hooligans,2010-10-05
Tää kesä,['Timi Lexikon'],Tää kesä,2012-06-04
The Lazy Song,['Bruno Mars'],Doo-Wops & Hooligans,2010-10-05
Count on Me,['Bruno Mars'],Doo-Wops & Hooligans,2010-10-05
We Are Young (feat. Janelle Monáe),"['fun.', 'Janelle Monáe']",We Are Young (feat. Janelle Monáe),2011-09-20
I Wanna Go - Desi Hits! Remix produced by DJ Lloyd ft Sonu Nigam,['Britney Spears'],I Wanna Go,2011-07-11
Private Show,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Man On The Moon,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Do You Wanna Come Over?,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Love Me Down,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Liar,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Better,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Invitation,['Britney Spears'],Glory (Deluxe Version),2016-08-26
Body Ache,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Til It's Gone,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Passenger,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Chillin' With You (feat. Jamie Lynn),"['Britney Spears', 'Jamie Lynn Spears']",Britney Jean (Deluxe Version),2013-11-30
Don't Cry,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Now That I Found You,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Hold On Tight,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Brightest Morning Star,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
(Drop Dead) Beautiful (feat. Sabi),"['Britney Spears', 'Sabi']",Femme Fatale (Deluxe Version),2011-03-28
Seal It with a Kiss,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
Big Fat Bass (feat. will.i.am),"['Britney Spears', 'will.i.am']",Femme Fatale (Deluxe Version),2011-03-28
Inside Out,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
Gasoline,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
He About To Lose Me,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
Don't Keep Me Waiting,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
Selfish,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28
If U Seek Amy,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Shattered Glass,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Kill the Lights,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Blur,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Mannequin,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Mmm Papi,['Britney Spears'],Circus (Deluxe Version),2008-12-02
My Baby,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Lace and Leather,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Phonography,['Britney Spears'],Circus (Deluxe Version),2008-12-02
Hot as Ice,['Britney Spears'],Blackout,2007-10-25
Breathe on Me,['Britney Spears'],In The Zone,2003-11-13
Shadow,['Britney Spears'],In The Zone,2003-11-13
Overprotected - Radio Edit,['Britney Spears'],Britney (Digital Deluxe Version),2001-10-31
Cinderella,['Britney Spears'],Britney (Digital Deluxe Version),2001-10-31
I Run Away,['Britney Spears'],Britney (Digital Deluxe Version),2001-10-31
Lucky,['Britney Spears'],Oops!... I Did It Again,2000-05-16
Don't Go Knockin' on My Door,['Britney Spears'],Oops!... I Did It Again,2000-05-16
Don't Let Me Be the Last to Know,['Britney Spears'],Oops!... I Did It Again,2000-05-16
Dear Diary,['Britney Spears'],Oops!... I Did It Again,2000-05-16
Where Are You Now,['Britney Spears'],Oops!... I Did It Again,2000-05-16
One Kiss from You,['Britney Spears'],Oops!... I Did It Again,2000-05-16
Sometimes,['Britney Spears'],...Baby One More Time (Digital Deluxe Version),1999-01-12
Born to Make You Happy,['Britney Spears'],...Baby One More Time (Digital Deluxe Version),1999-01-12
From the Bottom of My Broken Heart,['Britney Spears'],...Baby One More Time (Digital Deluxe Version),1999-01-12
Deep In My Heart,['Britney Spears'],...Baby One More Time (Digital Deluxe Version),1999-01-12
Pills N Potions,['Nicki Minaj'],The Pinkprint (International Deluxe Explicit),2014-12-15
The Night Is Still Young,['Nicki Minaj'],The Pinkprint (International Deluxe Explicit),2014-12-15
Anaconda,['Nicki Minaj'],The Pinkprint (International Deluxe Explicit),2014-12-15
Roman Holiday,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Right By My Side,"['Nicki Minaj', 'Chris Brown']",Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Starships,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Pound The Alarm,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Whip It,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Stupid Hoe,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Va Va Voom,['Nicki Minaj'],Pink Friday ... Roman Reloaded (Deluxe),2012-01-01
Super Bass,['Nicki Minaj'],Pink Friday,2010-01-01
Cold,"['Maroon 5', 'Future']",Cold,2017-02-14
One More Night,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Payphone - Edit,"['Maroon 5', 'Wiz Khalifa']",Overexposed (Deluxe),2012-01-01
Daylight,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Lucky Strike,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Ladykiller,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Love Somebody,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Sad,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Fortune Teller,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Doin’ Dirt,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Tickets,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Beautiful Goodbye,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Wasted Years,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Let’s Stay Together,['Maroon 5'],Overexposed (Deluxe),2012-01-01
Animals - Radio Edit,['Martin Garrix'],Animals,2013-07-09
Wake Me Up,['Avicii'],Wake Me Up,2013-08-06
Waiting For Love,['Avicii'],Stories,2015-10-02
City Of Dreams - Showtek Remix,"['Dirty South', 'Alesso', 'Ruben Haze']",City Of Dreams (Showtek Remix),2013-01-01
Rahan takii,['Antti Tuisku'],Rahan takii,2017-02-27
Tahdon rakastella sinua,['SANNI'],Tahdon rakastella sinua,2017-02-27
You Don't Know Me,"['Jax Jones', 'RAYE']",You Don't Know Me,2016-12-09
Momentumii,['Reino Nordin'],Antaudun,2017-02-24
Backpack,"['Justin Bieber', 'Lil Wayne']",Backpack,2014-01-01
Get Back (Asap),['Alexandra Stan'],Get Back (ASAP),2011-08-04
Got 2 Luv U (feat. Alexis Jordan),"['Sean Paul', 'Alexis Jordan']",Got 2 Luv U (feat. Alexis Jordan),2011-07-19
Till Morning (feat. Nicco) - Video Mix,"['Darius & Finlay', 'Nicco']",Till Morning (feat. Nicco),2011-02-18
Feel So Close - Radio Edit,['Calvin Harris'],Feel So Close,2011-08-19
Jump - Feat Vince MC Denny,['Lucenzo'],Emigrante Del Mundo,2011-09-30
Heart Skips a Beat (feat. Rizzle Kicks),"['Olly Murs', 'Rizzle Kicks']",Heart Skips A Beat (feat. Rizzle Kicks),2011-08-21
Say Yeah,['Wiz Khalifa'],Say Yeah,2008-01-22
Don’t Stop The Party,['Black Eyed Peas'],The Beginning (Deluxe),2010-01-01
Guardian Angel,['K-System'],Sleep Is The Enemy,2004
Seinäruusu,['Kaija Koo'],Irti,2010-11-17
So Big,['Iyaz'],Replay,2009-08-18
Take Me Back,['Taio Cruz'],Rokstarr (International Version),2010-05-28
Boom - Video Edit,"['ItaloBrothers', 'Carlprit']",Boom,2011-11-28
More,['USHER'],Versus,2010-09-20
Jos Mun Pokka Pettää,['Haloo Helsinki!'],III,2011-01-01
Sorry For Party Rocking,['LMFAO'],Sorry For Party Rocking,2011-01-01
Pass Out - Radio Edit,['Tinie Tempah'],Pass Out,2010-02-26
Hetken tie on kevyt,['Laura Närhi'],Hetken tie on kevyt,2012-01-23
Nothing Really Matters - feat. will.i.am,['David Guetta'],Nothing But The Beat,2011
Talk That Talk,"['Rihanna', 'JAY-Z']",Talk That Talk,2011-11-19
Call Me Maybe,['Carly Rae Jepsen'],Call Me Maybe,2012-01-01
Midnight City,['M83'],"Hurry Up, We're Dreaming",2011-10-18
Shake It Up,['Selena Gomez'],Shake It Up,2011-01-01
Pelaat ja juhlit,['Lord Est'],Pelaat ja juhlit,2012-04-02
Chasing The Sun,['The Wanted'],Chasing The Sun,2012-01-01
F**k U Betta,['Neon Hitch'],Fuck U Betta,2012-01-31
Good Time,"['Owl City', 'Carly Rae Jepsen']",Good Time,2012-01-01
Seksikkäin jäbä,"['Teflon Brothers', 'STIG', 'Meiju Suvas']",Seksikkäin jäbä,2012-01-01
Figure 8,['Ellie Goulding'],Halcyon,2012-10-08
Levoton tyttö,['Anssi Kela'],Levoton tyttö,2013-02-01
Mermaid,['Train'],California 37,2012-04-17
She Makes Me Go (feat. Sean Paul) - Radio Edit,"['Arash', 'Sean Paul']",She Makes Me Go (feat. Sean Paul),2013-03-07
4 AM - Radio Version,['Scooter'],4 AM,2012-10-01
Haastaja,['Jontte Valosaari'],Haastaja,2013-08-29
Push Play,['Miriam Bryant'],Push Play,2013-01-14
Bombo,['Adelén'],Bombo,2013-01-30
Reload - Vocal Version / Radio Edit,"['Sebastian Ingrosso', 'Tommy Trash', 'John Martin']",Reload (Vocal Version / Radio Edit),2013-01-01
"Driving Around (feat. Pitbull, David Rush & Vein) - Providers Remix Radio Edit","['Mr. 305', 'Pitbull', 'David Rush', 'Vein']","Driving Around (feat. Pitbull, David Rush & Vein) [Providers Remix Radio Edit]",2013-06-25
Next to Me,['Otto Knows'],Next To Me,2015-05-08
The Hanging Tree - Rebel Remix,"['James Newton Howard', 'Jennifer Lawrence']",The Hanging Tree [(Rebel Remix) From The Hunger Games: Mockingjay Part 1],2015-01-13
Thinking out Loud,['Ed Sheeran'],x (Deluxe Edition),2014-06-21
Stuck On a Feeling,"['Prince Royce', 'Snoop Dogg']",Stuck On a Feeling,2014-11-24
I Don't Mind (feat. Juicy J),"['USHER', 'Juicy J']",I Don't Mind (feat. Juicy J),2014-11-21
Prayer in C - Robin Schulz Radio Edit,"['Lilly Wood and The Prick', 'Robin Schulz']",Prayer in C,2014-05-16
Weekend,['Priory'],Weekend,2014-06-30
Heartbeat Song,['Kelly Clarkson'],Heartbeat Song,2015-01-12
Pieces,['Ella Henderson'],Chapter One,2015-01-13
Stolen Dance,['Milky Chance'],Stolen Dance,2014-05-01
Masterpiece,['Jessie J'],Masterpiece,2014-10-07
She Knows,"['Ne-Yo', 'Juicy J']",Non-Fiction (Deluxe),2015-01-20
Only One,"['Kanye West', 'Paul McCartney']",Only One,2015-01-08
Lay Me Down,['Sam Smith'],Lay Me Down,2013-02-17
"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding'],Fifty Shades Of Grey (Original Motion Picture Soundtrack),2015-02-10
The Nights,['Avicii'],The Days / Nights,2014-01-01
Talking Body,['Tove Lo'],Queen Of The Clouds,2014-09-24
Dear Future Husband,['Meghan Trainor'],Title (Deluxe),2015-01-09
Living For Love,['Madonna'],Living For Love,2014-12-21
GDFR (feat. Sage the Gemini & Lookas),"['Flo Rida', 'Sage The Gemini', 'Lookas']",GDFR (feat. Sage The Gemini & Lookas),2014-09-29
Shut Up and Dance,['WALK THE MOON'],TALKING IS HARD,2014-12-02
Uma Thurman,['Fall Out Boy'],American Beauty/American Psycho,2015-01-20
Somebody,"['Natalie La Rose', 'Jeremih']",Somebody,2014-01-06
I Bet My Life,['Imagine Dragons'],Smoke + Mirrors,2014-09-18
FourFiveSeconds,"['Rihanna', 'Kanye West', 'Paul McCartney']",FourFiveSeconds,2015-01-24
American Oxygen,['Rihanna'],American Oxygen,2015-04-14
Back to Earth (feat. Fall Out Boy),"['Steve Aoki', 'Fall Out Boy']",Neon Future I,2014-09-29
Back Together,"['Robin Thicke', 'Nicki Minaj']",Back Together,2015-08-14
Beautiful Now,"['Zedd', 'Jon Bellion']",Beautiful Now,2015-05-14
Bitch Better Have My Money,['Rihanna'],Bitch Better Have My Money,2015-03-26
Cake By The Ocean,['DNCE'],Cake By The Ocean,2015-09-18
Cheerleader - Felix Jaehn Remix Radio Edit,"['OMI', 'Felix Jaehn']",Cheerleader (Felix Jaehn Remix Radio Edit),2015-03-06
Confident,['Demi Lovato'],Confident,2015-09-18
Cool for the Summer,['Demi Lovato'],Cool for the Summer,2015-07-01
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",['The Weeknd'],"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",2014-12-23
Drag Me Down,['One Direction'],Drag Me Down,2015-07-31
Emergency,['Icona Pop'],Emergency EP,2015-07-17
Ex's & Oh's,['Elle King'],Love Stuff,2015-02-13
The Fix (feat. Jeremih),"['Nelly', 'Jeremih']",The Fix (feat. Jeremih),2015-08-14
Fun (feat. Chris Brown),"['Pitbull', 'Chris Brown']",Globalization,2014-11-21
Ghost Town,['Adam Lambert'],Ghost Town,2015-04-21
Hello,['Adele'],Hello,2015-10-23
Hotline Bling,['Drake'],Hotline Bling,2015-07-31
Hula Hoop,['OMI'],Hula Hoop,2015-08-28
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","['Flo Rida', 'Robin Thicke', 'Verdine White']",My House,2015-04-07
I Lived,['OneRepublic'],Native,2014-01-01
"I Need Your Love (feat. Mohombi, Faydee & Costi)","['Shaggy', 'Mohombi', 'Faydee', 'Costi']","I Need Your Love (feat. Mohombi, Faydee & Costi)",2014-12-22
Like I Can,['Sam Smith'],In The Lonely Hour,2014-01-01
Marvin Gaye (feat. Meghan Trainor),"['Charlie Puth', 'Meghan Trainor']",Some Type of Love,2015-05-01
On My Mind,['Ellie Goulding'],On My Mind,2015-09-17
One Call Away,['Charlie Puth'],One Call Away,2015-08-21
Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",Motion,2014-10-31
Perfect,['One Direction'],Perfect,2015-10-16
Photograph,['Ed Sheeran'],x (Deluxe Edition),2014-06-21
Pretty Girls,"['Britney Spears', 'Iggy Azalea']",Pretty Girls,2015-05-04
Renegades,['X Ambassadors'],VHS,2015-06-30
Roses,"['The Chainsmokers', 'ROZES']",Roses,2015-06-16
Riptide,['Vance Joy'],Dream Your Life Away,2014-09-08
Same Old Love,['Selena Gomez'],Same Old Love,2015-09-10
See You Again (feat. Charlie Puth),"['Wiz Khalifa', 'Charlie Puth']",See You Again (feat. Charlie Puth),2015-03-10
Stitches,['Shawn Mendes'],Handwritten,2015-04-14
Style,['Sweet Baby May'],Style (Taylor Swift Covers),2015-05-08
SummerThing!,"['AFROJACK', 'Mike Taylor']",SummerThing!,2015-06-21
This Summer,['Maroon 5'],V,2014-09-02
Watch Me (Whip / Nae Nae),['Silentó'],Watch Me (Whip / Nae Nae),2015-05-04
You Know You Like It,"['DJ Snake', 'AlunaGeorge']",You Know You Like It,2014-10-14
2080-luvulla,['SANNI'],2080-luvulla,2015-02-13
Mauton jasso,['JVG'],Mauton jasso,2015-01-30
Peto on irti,['Antti Tuisku'],Peto on irti,2015-02-20
Freaks - Radio Edit,"['Timmy Trumpet', 'Savage']",Freaks,2014-09-15
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",Uptown Special,2015-01-12
Eteen ja Ylös,['Elastinen'],Eteen ja Ylös,2015-01-07
Kiitos ei ole kirosana,['Haloo Helsinki!'],Kiitos ei ole kirosana,2014-10-03
Sua varten,['Robin Packalen'],16 (Deluxe),2014-01-01
Walk,['Kwabs'],Walk,2014-09-26
Nothing Really Matters - Afrojack Remix,['Mr. Probz'],Nothing Really Matters (Afrojack Remix),2015-02-20
Himalaja,['Aste'],Himalaja,2014-12-05
Spesiaali,['Nikke Ankara'],Spesiaali,2014-10-07
Crossroads,['Satin Circus'],Crossroads,2015-01-13
Roy Orbison,['STIG'],Roy Orbison,2014-10-31
Blame (feat. John Newman),"['Calvin Harris', 'John Newman']",Motion,2014-10-31
Paperilennokki,['Robin Packalen'],16 (Deluxe),2014-01-01
Stay With Me,['Sam Smith'],In The Lonely Hour (Deluxe Edition),2014-01-01
Sinä ansaitset kultaa,['Jari Sillanpää'],Rakkaudella merkitty mies,2014-09-26
Are You With Me - Radio Edit,['Lost Frequencies'],Are You With Me,2014-08-25
Tuulisii (feat. Pete Parkkonen),"['JVG', 'Pete Parkkonen']",Tuulisii (feat. Pete Parkkonen),2015-04-13
Five More Hours,"['Deorro', 'Chris Brown']",Five More Hours,2015-03-03
Headlights (feat. Ilsey),"['Robin Schulz', 'Ilsey']",Headlights (feat. Ilsey),2015-04-03
Mimmit fiilaa,['Mikael Gabriel'],Versus,2015-05-15
Virheistä kaunein,['TCT'],Virheistä kaunein,2015-04-06
Ur Cool,['SAARA'],Ur Cool,2015-04-21
Bandana,['ABREU'],Bandana,2015-06-05
Ain't Nobody (Loves Me Better),"['Felix Jaehn', 'Jasmine Thompson']",Ain't Nobody (Loves Me Better),2015-03-03
Dime - Radio Edit,['Jack Perry'],Dime (Radio Edit),2015-05-29
Heroes,['Måns Zelmerlöw'],Perfectly Damaged,2015-06-03
Parade,"['Tungevaag', 'Raaban']",Parade,2015-06-05
"Habibi Love (I Need Your Love) (feat. Mohombi, Faydee & Costi)","['Shaggy', 'Mohombi', 'Faydee', 'Costi']","Habibi Love (I Need Your Love) (feat. Mohombi, Faydee & Costi)",2015-03-11
Kuka Pelkää Pimeet,['Musta Barbaari'],Kuka Pelkää Pimeet,2015-04-16
Hold Back The River,['James Bay'],Chaos And The Calm,2015-03-20
UFO - Radio Edit,['Vigiland'],UFO,2014-01-01
Aurinkokuningatar,['Valovuosi'],Aurinkokuningatar,2015-04-17
Reality (feat. Janieck Devy) - Radio Edit,"['Lost Frequencies', 'Janieck Devy']",Reality (feat. Janieck Devy),2015-07-10
Downtown,['Donkeyboy'],Downtown,2015-06-12
Powerful (feat. Ellie Goulding & Tarrus Riley),"['Major Lazer', 'Ellie Goulding', 'Tarrus Riley']",Peace Is The Mission,2015-05-29
Lipstick (feat. Tyga),"['Isac Elliot', 'Tyga']",Lipstick (feat. Tyga),2015-08-14
Ihana,['Chisu'],Ihana,2015-08-07
That's How You Know (feat. Kid Ink & Bebe Rexha),"['Nico & Vinz', 'Kid Ink', 'Bebe Rexha']",That's How You Know (feat. Kid Ink & Bebe Rexha),2015-07-17
